timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 03:50:49.013, NVIDIA Thor, 1 %, [N/A], [N/A], 47
2026/02/05 03:50:50.023, NVIDIA Thor, 92 %, [N/A], [N/A], 47
2026/02/05 03:50:51.027, NVIDIA Thor, 0 %, [N/A], [N/A], 47
2026/02/05 03:50:52.029, NVIDIA Thor, 2 %, [N/A], [N/A], 47
2026/02/05 03:50:53.032, NVIDIA Thor, 0 %, [N/A], [N/A], 47
2026/02/05 03:50:54.036, NVIDIA Thor, 0 %, [N/A], [N/A], 47
2026/02/05 03:50:55.039, NVIDIA Thor, 0 %, [N/A], [N/A], 47
2026/02/05 03:50:56.044, NVIDIA Thor, 1 %, [N/A], [N/A], 47
2026/02/05 03:50:57.046, NVIDIA Thor, 41 %, [N/A], [N/A], 47
2026/02/05 03:50:58.047, NVIDIA Thor, 2 %, [N/A], [N/A], 47
2026/02/05 03:50:59.049, NVIDIA Thor, 97 %, [N/A], [N/A], 49
2026/02/05 03:51:00.056, NVIDIA Thor, 96 %, [N/A], [N/A], 49
2026/02/05 03:51:01.058, NVIDIA Thor, 9 %, [N/A], [N/A], 48
2026/02/05 03:51:02.060, NVIDIA Thor, 66 %, [N/A], [N/A], 49
2026/02/05 03:51:03.062, NVIDIA Thor, 97 %, [N/A], [N/A], 50
2026/02/05 03:51:04.068, NVIDIA Thor, 97 %, [N/A], [N/A], 50
2026/02/05 03:51:05.074, NVIDIA Thor, 97 %, [N/A], [N/A], 50
2026/02/05 03:51:06.076, NVIDIA Thor, 2 %, [N/A], [N/A], 49
2026/02/05 03:51:07.077, NVIDIA Thor, 98 %, [N/A], [N/A], 50
2026/02/05 03:51:08.082, NVIDIA Thor, 41 %, [N/A], [N/A], 50
2026/02/05 03:51:09.083, NVIDIA Thor, 1 %, [N/A], [N/A], 49
2026/02/05 03:51:10.085, NVIDIA Thor, 10 %, [N/A], [N/A], 49
2026/02/05 03:51:11.087, NVIDIA Thor, 13 %, [N/A], [N/A], 49
2026/02/05 03:51:12.092, NVIDIA Thor, 1 %, [N/A], [N/A], 49
2026/02/05 03:51:13.093, NVIDIA Thor, 97 %, [N/A], [N/A], 51
2026/02/05 03:51:14.095, NVIDIA Thor, 3 %, [N/A], [N/A], 49
2026/02/05 03:51:15.097, NVIDIA Thor, 96 %, [N/A], [N/A], 50
2026/02/05 03:51:16.104, NVIDIA Thor, 97 %, [N/A], [N/A], 51
2026/02/05 03:51:17.106, NVIDIA Thor, 3 %, [N/A], [N/A], 50
2026/02/05 03:51:18.109, NVIDIA Thor, 0 %, [N/A], [N/A], 49
2026/02/05 03:51:19.111, NVIDIA Thor, 42 %, [N/A], [N/A], 50
2026/02/05 03:51:20.119, NVIDIA Thor, 97 %, [N/A], [N/A], 51
2026/02/05 03:51:21.127, NVIDIA Thor, 98 %, [N/A], [N/A], 51
2026/02/05 03:51:22.133, NVIDIA Thor, 2 %, [N/A], [N/A], 49
2026/02/05 03:51:23.135, NVIDIA Thor, 98 %, [N/A], [N/A], 51
2026/02/05 03:51:24.137, NVIDIA Thor, 8 %, [N/A], [N/A], 50
2026/02/05 03:51:25.139, NVIDIA Thor, 97 %, [N/A], [N/A], 51
2026/02/05 03:51:26.142, NVIDIA Thor, 4 %, [N/A], [N/A], 50
2026/02/05 03:51:27.144, NVIDIA Thor, 1 %, [N/A], [N/A], 50
2026/02/05 03:51:28.146, NVIDIA Thor, 3 %, [N/A], [N/A], 50
2026/02/05 03:51:29.147, NVIDIA Thor, 91 %, [N/A], [N/A], 50
2026/02/05 03:51:30.150, NVIDIA Thor, 97 %, [N/A], [N/A], 51
2026/02/05 03:51:31.153, NVIDIA Thor, 98 %, [N/A], [N/A], 51
2026/02/05 03:51:32.155, NVIDIA Thor, 12 %, [N/A], [N/A], 49
2026/02/05 03:51:33.161, NVIDIA Thor, 97 %, [N/A], [N/A], 50
2026/02/05 03:51:34.165, NVIDIA Thor, 18 %, [N/A], [N/A], 50
2026/02/05 03:51:35.167, NVIDIA Thor, 1 %, [N/A], [N/A], 50
2026/02/05 03:51:36.169, NVIDIA Thor, 97 %, [N/A], [N/A], 51
2026/02/05 03:51:37.173, NVIDIA Thor, 13 %, [N/A], [N/A], 50
2026/02/05 03:51:38.175, NVIDIA Thor, 10 %, [N/A], [N/A], 50
2026/02/05 03:51:39.177, NVIDIA Thor, 0 %, [N/A], [N/A], 50
2026/02/05 03:51:40.178, NVIDIA Thor, 4 %, [N/A], [N/A], 50
2026/02/05 03:51:41.181, NVIDIA Thor, 3 %, [N/A], [N/A], 50
2026/02/05 03:51:42.182, NVIDIA Thor, 0 %, [N/A], [N/A], 50
2026/02/05 03:51:43.184, NVIDIA Thor, 97 %, [N/A], [N/A], 51
2026/02/05 03:51:44.188, NVIDIA Thor, 47 %, [N/A], [N/A], 51
2026/02/05 03:51:45.189, NVIDIA Thor, 1 %, [N/A], [N/A], 50
2026/02/05 03:51:46.191, NVIDIA Thor, 97 %, [N/A], [N/A], 51
2026/02/05 03:51:47.194, NVIDIA Thor, 29 %, [N/A], [N/A], 49
2026/02/05 03:51:48.196, NVIDIA Thor, 1 %, [N/A], [N/A], 50
2026/02/05 03:51:49.197, NVIDIA Thor, 98 %, [N/A], [N/A], 51
2026/02/05 03:51:50.201, NVIDIA Thor, 1 %, [N/A], [N/A], 50
2026/02/05 03:51:51.202, NVIDIA Thor, 98 %, [N/A], [N/A], 51
2026/02/05 03:51:52.204, NVIDIA Thor, 1 %, [N/A], [N/A], 50
2026/02/05 03:51:53.206, NVIDIA Thor, 96 %, [N/A], [N/A], 51
2026/02/05 03:51:54.211, NVIDIA Thor, 44 %, [N/A], [N/A], 51
2026/02/05 03:51:55.212, NVIDIA Thor, 0 %, [N/A], [N/A], 50
2026/02/05 03:51:56.214, NVIDIA Thor, 98 %, [N/A], [N/A], 52
2026/02/05 03:51:57.217, NVIDIA Thor, 2 %, [N/A], [N/A], 50
2026/02/05 03:51:58.219, NVIDIA Thor, 0 %, [N/A], [N/A], 50
2026/02/05 03:51:59.221, NVIDIA Thor, 97 %, [N/A], [N/A], 51
2026/02/05 03:52:00.224, NVIDIA Thor, 97 %, [N/A], [N/A], 51
