timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 10:44:14.810, NVIDIA Thor, 0 %, [N/A], [N/A], 41
2026/02/05 10:44:15.814, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 10:44:16.820, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 10:44:17.824, NVIDIA Thor, 71 %, [N/A], [N/A], 43
2026/02/05 10:44:18.827, NVIDIA Thor, 3 %, [N/A], [N/A], 42
2026/02/05 10:44:19.828, NVIDIA Thor, 2 %, [N/A], [N/A], 42
2026/02/05 10:44:20.830, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 10:44:21.832, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 10:44:22.834, NVIDIA Thor, 23 %, [N/A], [N/A], 43
2026/02/05 10:44:23.836, NVIDIA Thor, 95 %, [N/A], [N/A], 44
2026/02/05 10:44:24.838, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 10:44:25.841, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 10:44:26.842, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 10:44:27.845, NVIDIA Thor, 75 %, [N/A], [N/A], 43
2026/02/05 10:44:28.847, NVIDIA Thor, 92 %, [N/A], [N/A], 44
2026/02/05 10:44:29.849, NVIDIA Thor, 84 %, [N/A], [N/A], 45
2026/02/05 10:44:30.851, NVIDIA Thor, 95 %, [N/A], [N/A], 45
2026/02/05 10:44:31.853, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 10:44:32.855, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:33.858, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:34.863, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:35.867, NVIDIA Thor, 95 %, [N/A], [N/A], 46
2026/02/05 10:44:36.871, NVIDIA Thor, 64 %, [N/A], [N/A], 45
2026/02/05 10:44:37.873, NVIDIA Thor, 2 %, [N/A], [N/A], 44
2026/02/05 10:44:38.874, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 10:44:39.876, NVIDIA Thor, 60 %, [N/A], [N/A], 46
2026/02/05 10:44:40.881, NVIDIA Thor, 96 %, [N/A], [N/A], 46
2026/02/05 10:44:41.884, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 10:44:42.887, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:43.891, NVIDIA Thor, 2 %, [N/A], [N/A], 44
2026/02/05 10:44:44.893, NVIDIA Thor, 80 %, [N/A], [N/A], 46
