timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 11:12:19.757, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/05 11:12:20.767, NVIDIA Thor, 50 %, [N/A], [N/A], 38
2026/02/05 11:12:21.770, NVIDIA Thor, 0 %, [N/A], [N/A], 38
2026/02/05 11:12:22.771, NVIDIA Thor, 1 %, [N/A], [N/A], 38
2026/02/05 11:12:23.774, NVIDIA Thor, 0 %, [N/A], [N/A], 38
2026/02/05 11:12:24.777, NVIDIA Thor, 0 %, [N/A], [N/A], 38
2026/02/05 11:12:25.779, NVIDIA Thor, 0 %, [N/A], [N/A], 38
2026/02/05 11:12:26.784, NVIDIA Thor, 67 %, [N/A], [N/A], 38
2026/02/05 11:12:27.785, NVIDIA Thor, 0 %, [N/A], [N/A], 38
2026/02/05 11:12:28.787, NVIDIA Thor, 1 %, [N/A], [N/A], 39
2026/02/05 11:12:29.789, NVIDIA Thor, 0 %, [N/A], [N/A], 39
2026/02/05 11:12:30.790, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 11:12:31.794, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 11:12:32.796, NVIDIA Thor, 3 %, [N/A], [N/A], 40
2026/02/05 11:12:33.797, NVIDIA Thor, 0 %, [N/A], [N/A], 40
2026/02/05 11:12:34.799, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 11:12:35.803, NVIDIA Thor, 12 %, [N/A], [N/A], 41
2026/02/05 11:12:36.806, NVIDIA Thor, 9 %, [N/A], [N/A], 40
2026/02/05 11:12:37.808, NVIDIA Thor, 3 %, [N/A], [N/A], 40
2026/02/05 11:12:38.809, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 11:12:39.813, NVIDIA Thor, 10 %, [N/A], [N/A], 41
2026/02/05 11:12:40.815, NVIDIA Thor, 85 %, [N/A], [N/A], 41
2026/02/05 11:12:41.817, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 11:12:42.820, NVIDIA Thor, 5 %, [N/A], [N/A], 41
2026/02/05 11:12:43.822, NVIDIA Thor, 1 %, [N/A], [N/A], 41
2026/02/05 11:12:44.823, NVIDIA Thor, 1 %, [N/A], [N/A], 41
2026/02/05 11:12:45.825, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 11:12:46.833, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 11:12:47.835, NVIDIA Thor, 47 %, [N/A], [N/A], 43
2026/02/05 11:12:48.838, NVIDIA Thor, 13 %, [N/A], [N/A], 42
2026/02/05 11:12:49.840, NVIDIA Thor, 1 %, [N/A], [N/A], 42
2026/02/05 11:12:50.841, NVIDIA Thor, 2 %, [N/A], [N/A], 42
2026/02/05 11:12:51.843, NVIDIA Thor, 7 %, [N/A], [N/A], 42
2026/02/05 11:12:52.846, NVIDIA Thor, 6 %, [N/A], [N/A], 41
2026/02/05 11:12:53.847, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 11:12:54.853, NVIDIA Thor, 4 %, [N/A], [N/A], 42
2026/02/05 11:12:55.855, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 11:12:56.858, NVIDIA Thor, 1 %, [N/A], [N/A], 42
2026/02/05 11:12:57.860, NVIDIA Thor, 2 %, [N/A], [N/A], 42
2026/02/05 11:12:58.862, NVIDIA Thor, 68 %, [N/A], [N/A], 42
2026/02/05 11:12:59.865, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 11:13:00.871, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 11:13:01.874, NVIDIA Thor, 1 %, [N/A], [N/A], 42
2026/02/05 11:13:02.876, NVIDIA Thor, 12 %, [N/A], [N/A], 42
2026/02/05 11:13:03.888, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 11:13:04.893, NVIDIA Thor, 7 %, [N/A], [N/A], 42
