timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 07:51:20.436, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 07:51:21.444, NVIDIA Thor, 97 %, [N/A], [N/A], 36
2026/02/05 07:51:22.447, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 07:51:23.449, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 07:51:24.450, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 07:51:25.453, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 07:51:26.456, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 07:51:27.459, NVIDIA Thor, 66 %, [N/A], [N/A], 36
2026/02/05 07:51:28.461, NVIDIA Thor, 1 %, [N/A], [N/A], 36
2026/02/05 07:51:29.463, NVIDIA Thor, 10 %, [N/A], [N/A], 37
2026/02/05 07:51:30.466, NVIDIA Thor, 1 %, [N/A], [N/A], 37
2026/02/05 07:51:31.468, NVIDIA Thor, 97 %, [N/A], [N/A], 38
2026/02/05 07:51:32.475, NVIDIA Thor, 98 %, [N/A], [N/A], 39
2026/02/05 07:51:33.481, NVIDIA Thor, 8 %, [N/A], [N/A], 38
2026/02/05 07:51:34.483, NVIDIA Thor, 0 %, [N/A], [N/A], 38
2026/02/05 07:51:35.486, NVIDIA Thor, 1 %, [N/A], [N/A], 38
2026/02/05 07:51:36.487, NVIDIA Thor, 95 %, [N/A], [N/A], 39
2026/02/05 07:51:37.494, NVIDIA Thor, 98 %, [N/A], [N/A], 40
2026/02/05 07:51:38.496, NVIDIA Thor, 7 %, [N/A], [N/A], 38
2026/02/05 07:51:39.498, NVIDIA Thor, 97 %, [N/A], [N/A], 40
2026/02/05 07:51:40.502, NVIDIA Thor, 98 %, [N/A], [N/A], 40
2026/02/05 07:51:41.504, NVIDIA Thor, 14 %, [N/A], [N/A], 39
2026/02/05 07:51:42.506, NVIDIA Thor, 0 %, [N/A], [N/A], 39
2026/02/05 07:51:43.508, NVIDIA Thor, 2 %, [N/A], [N/A], 38
2026/02/05 07:51:44.510, NVIDIA Thor, 6 %, [N/A], [N/A], 39
2026/02/05 07:51:45.513, NVIDIA Thor, 98 %, [N/A], [N/A], 40
2026/02/05 07:51:46.516, NVIDIA Thor, 3 %, [N/A], [N/A], 39
2026/02/05 07:51:47.517, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 07:51:48.523, NVIDIA Thor, 97 %, [N/A], [N/A], 41
2026/02/05 07:51:49.529, NVIDIA Thor, 97 %, [N/A], [N/A], 41
2026/02/05 07:51:50.531, NVIDIA Thor, 2 %, [N/A], [N/A], 39
2026/02/05 07:51:51.533, NVIDIA Thor, 1 %, [N/A], [N/A], 39
2026/02/05 07:51:52.534, NVIDIA Thor, 2 %, [N/A], [N/A], 39
2026/02/05 07:51:53.536, NVIDIA Thor, 1 %, [N/A], [N/A], 39
2026/02/05 07:51:54.538, NVIDIA Thor, 3 %, [N/A], [N/A], 40
2026/02/05 07:51:55.539, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 07:51:56.544, NVIDIA Thor, 5 %, [N/A], [N/A], 40
2026/02/05 07:51:57.547, NVIDIA Thor, 5 %, [N/A], [N/A], 40
2026/02/05 07:51:58.549, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 07:51:59.552, NVIDIA Thor, 97 %, [N/A], [N/A], 41
2026/02/05 07:52:00.554, NVIDIA Thor, 1 %, [N/A], [N/A], 40
2026/02/05 07:52:01.556, NVIDIA Thor, 2 %, [N/A], [N/A], 40
2026/02/05 07:52:02.558, NVIDIA Thor, 97 %, [N/A], [N/A], 42
2026/02/05 07:52:03.566, NVIDIA Thor, 19 %, [N/A], [N/A], 40
2026/02/05 07:52:04.567, NVIDIA Thor, 1 %, [N/A], [N/A], 40
2026/02/05 07:52:05.569, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 07:52:06.572, NVIDIA Thor, 11 %, [N/A], [N/A], 40
2026/02/05 07:52:07.573, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 07:52:08.576, NVIDIA Thor, 4 %, [N/A], [N/A], 41
2026/02/05 07:52:09.578, NVIDIA Thor, 2 %, [N/A], [N/A], 40
2026/02/05 07:52:10.580, NVIDIA Thor, 3 %, [N/A], [N/A], 40
2026/02/05 07:52:11.582, NVIDIA Thor, 1 %, [N/A], [N/A], 41
2026/02/05 07:52:12.583, NVIDIA Thor, 3 %, [N/A], [N/A], 40
2026/02/05 07:52:13.585, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 07:52:14.589, NVIDIA Thor, 31 %, [N/A], [N/A], 42
2026/02/05 07:52:15.591, NVIDIA Thor, 3 %, [N/A], [N/A], 41
2026/02/05 07:52:16.593, NVIDIA Thor, 95 %, [N/A], [N/A], 42
2026/02/05 07:52:17.601, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 07:52:18.603, NVIDIA Thor, 35 %, [N/A], [N/A], 41
2026/02/05 07:52:19.605, NVIDIA Thor, 2 %, [N/A], [N/A], 41
2026/02/05 07:52:20.607, NVIDIA Thor, 97 %, [N/A], [N/A], 42
2026/02/05 07:52:21.609, NVIDIA Thor, 1 %, [N/A], [N/A], 41
2026/02/05 07:52:22.611, NVIDIA Thor, 97 %, [N/A], [N/A], 42
2026/02/05 07:52:23.618, NVIDIA Thor, 18 %, [N/A], [N/A], 42
2026/02/05 07:52:24.619, NVIDIA Thor, 7 %, [N/A], [N/A], 41
2026/02/05 07:52:25.622, NVIDIA Thor, 6 %, [N/A], [N/A], 41
2026/02/05 07:52:26.623, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 07:52:27.627, NVIDIA Thor, 78 %, [N/A], [N/A], 42
2026/02/05 07:52:28.629, NVIDIA Thor, 2 %, [N/A], [N/A], 41
2026/02/05 07:52:29.630, NVIDIA Thor, 74 %, [N/A], [N/A], 42
2026/02/05 07:52:30.634, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 07:52:31.637, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 07:52:32.639, NVIDIA Thor, 0 %, [N/A], [N/A], 41
2026/02/05 07:52:33.641, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 07:52:34.643, NVIDIA Thor, 33 %, [N/A], [N/A], 42
2026/02/05 07:52:35.650, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 07:52:36.654, NVIDIA Thor, 6 %, [N/A], [N/A], 42
2026/02/05 07:52:37.655, NVIDIA Thor, 90 %, [N/A], [N/A], 42
2026/02/05 07:52:38.658, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 07:52:39.660, NVIDIA Thor, 4 %, [N/A], [N/A], 42
2026/02/05 07:52:40.661, NVIDIA Thor, 9 %, [N/A], [N/A], 42
2026/02/05 07:52:41.663, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 07:52:42.670, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 07:52:43.673, NVIDIA Thor, 9 %, [N/A], [N/A], 43
2026/02/05 07:52:44.674, NVIDIA Thor, 0 %, [N/A], [N/A], 42
2026/02/05 07:52:45.676, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 07:52:46.679, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 07:52:47.681, NVIDIA Thor, 12 %, [N/A], [N/A], 41
2026/02/05 07:52:48.688, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 07:52:49.694, NVIDIA Thor, 10 %, [N/A], [N/A], 42
2026/02/05 07:52:50.696, NVIDIA Thor, 2 %, [N/A], [N/A], 42
2026/02/05 07:52:51.697, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 07:52:52.702, NVIDIA Thor, 3 %, [N/A], [N/A], 42
2026/02/05 07:52:53.703, NVIDIA Thor, 10 %, [N/A], [N/A], 42
2026/02/05 07:52:54.705, NVIDIA Thor, 2 %, [N/A], [N/A], 42
2026/02/05 07:52:55.706, NVIDIA Thor, 97 %, [N/A], [N/A], 44
2026/02/05 07:52:56.715, NVIDIA Thor, 10 %, [N/A], [N/A], 43
