timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/03 16:12:56.054, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:12:57.064, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:12:58.065, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:12:59.068, NVIDIA Thor, 13 %, [N/A], [N/A], 37
2026/02/03 16:13:00.069, NVIDIA Thor, 1 %, [N/A], [N/A], 37
2026/02/03 16:13:01.072, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:02.077, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:03.080, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:04.084, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:05.089, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:06.092, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:07.095, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:08.099, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:09.106, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:10.111, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:11.114, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:12.117, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:13.120, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:14.124, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:15.127, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:16.130, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:17.134, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:18.137, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:19.140, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:20.143, NVIDIA Thor, 1 %, [N/A], [N/A], 37
2026/02/03 16:13:21.150, NVIDIA Thor, 3 %, [N/A], [N/A], 37
2026/02/03 16:13:22.155, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:23.158, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:24.164, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/03 16:13:25.167, NVIDIA Thor, 0 %, [N/A], [N/A], 37
