timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/04 02:11:15.017, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/04 02:11:16.025, NVIDIA Thor, 82 %, [N/A], [N/A], 36
2026/02/04 02:11:17.030, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:18.032, NVIDIA Thor, 1 %, [N/A], [N/A], 36
2026/02/04 02:11:19.036, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:20.039, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:21.042, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:22.047, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:23.052, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:24.058, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:25.061, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:26.065, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:27.069, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:28.073, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:29.076, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:30.079, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:31.083, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:32.086, NVIDIA Thor, 2 %, [N/A], [N/A], 36
2026/02/04 02:11:33.089, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:34.092, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:35.096, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:36.099, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:37.102, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:38.109, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:39.113, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:40.116, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:41.123, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:42.126, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:43.129, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:44.134, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 02:11:45.143, NVIDIA Thor, 0 %, [N/A], [N/A], 36
