timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 10:55:21.735, NVIDIA Thor, 0 %, [N/A], [N/A], 56
2026/02/05 10:55:22.747, NVIDIA Thor, 96 %, [N/A], [N/A], 57
2026/02/05 10:55:23.750, NVIDIA Thor, 1 %, [N/A], [N/A], 56
2026/02/05 10:55:24.751, NVIDIA Thor, 0 %, [N/A], [N/A], 56
2026/02/05 10:55:25.754, NVIDIA Thor, 0 %, [N/A], [N/A], 55
2026/02/05 10:55:26.757, NVIDIA Thor, 0 %, [N/A], [N/A], 55
2026/02/05 10:55:27.760, NVIDIA Thor, 0 %, [N/A], [N/A], 55
2026/02/05 10:55:28.763, NVIDIA Thor, 5 %, [N/A], [N/A], 55
2026/02/05 10:55:29.764, NVIDIA Thor, 44 %, [N/A], [N/A], 55
2026/02/05 10:55:30.766, NVIDIA Thor, 97 %, [N/A], [N/A], 57
2026/02/05 10:55:31.770, NVIDIA Thor, 5 %, [N/A], [N/A], 56
2026/02/05 10:55:32.771, NVIDIA Thor, 94 %, [N/A], [N/A], 56
2026/02/05 10:55:33.776, NVIDIA Thor, 3 %, [N/A], [N/A], 55
2026/02/05 10:55:34.778, NVIDIA Thor, 1 %, [N/A], [N/A], 55
2026/02/05 10:55:35.779, NVIDIA Thor, 66 %, [N/A], [N/A], 56
2026/02/05 10:55:36.783, NVIDIA Thor, 97 %, [N/A], [N/A], 57
2026/02/05 10:55:37.786, NVIDIA Thor, 7 %, [N/A], [N/A], 56
2026/02/05 10:55:38.788, NVIDIA Thor, 0 %, [N/A], [N/A], 55
2026/02/05 10:55:39.789, NVIDIA Thor, 98 %, [N/A], [N/A], 57
2026/02/05 10:55:40.791, NVIDIA Thor, 2 %, [N/A], [N/A], 55
2026/02/05 10:55:41.793, NVIDIA Thor, 2 %, [N/A], [N/A], 56
2026/02/05 10:55:42.794, NVIDIA Thor, 97 %, [N/A], [N/A], 58
2026/02/05 10:55:43.797, NVIDIA Thor, 30 %, [N/A], [N/A], 55
2026/02/05 10:55:44.800, NVIDIA Thor, 92 %, [N/A], [N/A], 57
2026/02/05 10:55:45.805, NVIDIA Thor, 0 %, [N/A], [N/A], 55
2026/02/05 10:55:46.807, NVIDIA Thor, 6 %, [N/A], [N/A], 56
2026/02/05 10:55:47.809, NVIDIA Thor, 98 %, [N/A], [N/A], 57
2026/02/05 10:55:48.811, NVIDIA Thor, 80 %, [N/A], [N/A], 56
2026/02/05 10:55:49.813, NVIDIA Thor, 1 %, [N/A], [N/A], 56
2026/02/05 10:55:50.814, NVIDIA Thor, 40 %, [N/A], [N/A], 57
2026/02/05 10:55:51.816, NVIDIA Thor, 98 %, [N/A], [N/A], 57
2026/02/05 10:55:52.818, NVIDIA Thor, 0 %, [N/A], [N/A], 55
2026/02/05 10:55:53.820, NVIDIA Thor, 7 %, [N/A], [N/A], 56
2026/02/05 10:55:54.821, NVIDIA Thor, 97 %, [N/A], [N/A], 57
2026/02/05 10:55:55.823, NVIDIA Thor, 97 %, [N/A], [N/A], 57
2026/02/05 10:55:56.829, NVIDIA Thor, 36 %, [N/A], [N/A], 55
2026/02/05 10:55:57.830, NVIDIA Thor, 51 %, [N/A], [N/A], 56
2026/02/05 10:55:58.834, NVIDIA Thor, 0 %, [N/A], [N/A], 55
2026/02/05 10:55:59.835, NVIDIA Thor, 98 %, [N/A], [N/A], 57
2026/02/05 10:56:00.838, NVIDIA Thor, 94 %, [N/A], [N/A], 56
2026/02/05 10:56:01.841, NVIDIA Thor, 9 %, [N/A], [N/A], 55
2026/02/05 10:56:02.843, NVIDIA Thor, 12 %, [N/A], [N/A], 56
