timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 10:56:41.873, NVIDIA Thor, 0 %, [N/A], [N/A], 51
2026/02/05 10:56:42.881, NVIDIA Thor, 86 %, [N/A], [N/A], 51
2026/02/05 10:56:43.887, NVIDIA Thor, 1 %, [N/A], [N/A], 51
2026/02/05 10:56:44.888, NVIDIA Thor, 1 %, [N/A], [N/A], 50
2026/02/05 10:56:45.890, NVIDIA Thor, 3 %, [N/A], [N/A], 50
2026/02/05 10:56:46.895, NVIDIA Thor, 0 %, [N/A], [N/A], 50
2026/02/05 10:56:47.898, NVIDIA Thor, 0 %, [N/A], [N/A], 50
2026/02/05 10:56:48.900, NVIDIA Thor, 67 %, [N/A], [N/A], 51
2026/02/05 10:56:49.902, NVIDIA Thor, 2 %, [N/A], [N/A], 50
2026/02/05 10:56:50.903, NVIDIA Thor, 28 %, [N/A], [N/A], 52
2026/02/05 10:56:51.904, NVIDIA Thor, 7 %, [N/A], [N/A], 51
2026/02/05 10:56:52.906, NVIDIA Thor, 95 %, [N/A], [N/A], 52
2026/02/05 10:56:53.910, NVIDIA Thor, 91 %, [N/A], [N/A], 52
2026/02/05 10:56:54.913, NVIDIA Thor, 1 %, [N/A], [N/A], 51
2026/02/05 10:56:55.915, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:56:56.917, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:56:57.921, NVIDIA Thor, 3 %, [N/A], [N/A], 52
2026/02/05 10:56:58.922, NVIDIA Thor, 3 %, [N/A], [N/A], 52
2026/02/05 10:56:59.926, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:57:00.927, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:01.935, NVIDIA Thor, 3 %, [N/A], [N/A], 52
2026/02/05 10:57:02.936, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:03.940, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:57:04.942, NVIDIA Thor, 6 %, [N/A], [N/A], 52
2026/02/05 10:57:05.944, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:06.950, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:57:07.951, NVIDIA Thor, 0 %, [N/A], [N/A], 52
2026/02/05 10:57:08.954, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:09.956, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:57:10.957, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:11.959, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:57:12.961, NVIDIA Thor, 85 %, [N/A], [N/A], 54
2026/02/05 10:57:13.962, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:14.965, NVIDIA Thor, 5 %, [N/A], [N/A], 53
2026/02/05 10:57:15.977, NVIDIA Thor, 12 %, [N/A], [N/A], 53
2026/02/05 10:57:16.979, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:17.983, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:57:18.987, NVIDIA Thor, 10 %, [N/A], [N/A], 53
2026/02/05 10:57:19.989, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:20.991, NVIDIA Thor, 4 %, [N/A], [N/A], 52
2026/02/05 10:57:21.994, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:22.999, NVIDIA Thor, 9 %, [N/A], [N/A], 53
2026/02/05 10:57:24.001, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:25.007, NVIDIA Thor, 9 %, [N/A], [N/A], 53
2026/02/05 10:57:26.008, NVIDIA Thor, 1 %, [N/A], [N/A], 53
2026/02/05 10:57:27.010, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:28.014, NVIDIA Thor, 7 %, [N/A], [N/A], 53
2026/02/05 10:57:29.016, NVIDIA Thor, 5 %, [N/A], [N/A], 53
2026/02/05 10:57:30.017, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:31.021, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:57:32.022, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:57:33.025, NVIDIA Thor, 6 %, [N/A], [N/A], 53
2026/02/05 10:57:34.026, NVIDIA Thor, 0 %, [N/A], [N/A], 52
2026/02/05 10:57:35.028, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:36.032, NVIDIA Thor, 0 %, [N/A], [N/A], 53
2026/02/05 10:57:37.033, NVIDIA Thor, 4 %, [N/A], [N/A], 53
2026/02/05 10:57:38.035, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:57:39.037, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:40.042, NVIDIA Thor, 10 %, [N/A], [N/A], 53
2026/02/05 10:57:41.044, NVIDIA Thor, 79 %, [N/A], [N/A], 53
2026/02/05 10:57:42.046, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:43.049, NVIDIA Thor, 2 %, [N/A], [N/A], 53
2026/02/05 10:57:44.050, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:45.057, NVIDIA Thor, 5 %, [N/A], [N/A], 53
2026/02/05 10:57:46.059, NVIDIA Thor, 0 %, [N/A], [N/A], 52
2026/02/05 10:57:47.062, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:48.064, NVIDIA Thor, 0 %, [N/A], [N/A], 52
2026/02/05 10:57:49.066, NVIDIA Thor, 6 %, [N/A], [N/A], 53
2026/02/05 10:57:50.067, NVIDIA Thor, 0 %, [N/A], [N/A], 52
2026/02/05 10:57:51.070, NVIDIA Thor, 10 %, [N/A], [N/A], 52
2026/02/05 10:57:52.071, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:57:53.072, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:57:54.074, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:57:55.079, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:56.082, NVIDIA Thor, 4 %, [N/A], [N/A], 52
2026/02/05 10:57:57.093, NVIDIA Thor, 97 %, [N/A], [N/A], 53
2026/02/05 10:57:58.097, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:57:59.101, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:58:00.102, NVIDIA Thor, 13 %, [N/A], [N/A], 52
2026/02/05 10:58:01.110, NVIDIA Thor, 98 %, [N/A], [N/A], 53
2026/02/05 10:58:02.116, NVIDIA Thor, 3 %, [N/A], [N/A], 53
2026/02/05 10:58:03.118, NVIDIA Thor, 97 %, [N/A], [N/A], 53
2026/02/05 10:58:04.122, NVIDIA Thor, 12 %, [N/A], [N/A], 53
2026/02/05 10:58:05.124, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:58:06.126, NVIDIA Thor, 7 %, [N/A], [N/A], 52
2026/02/05 10:58:07.128, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:58:08.129, NVIDIA Thor, 9 %, [N/A], [N/A], 53
2026/02/05 10:58:09.131, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:58:10.134, NVIDIA Thor, 9 %, [N/A], [N/A], 53
2026/02/05 10:58:11.136, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:58:12.137, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:58:13.142, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:58:14.145, NVIDIA Thor, 9 %, [N/A], [N/A], 53
2026/02/05 10:58:15.147, NVIDIA Thor, 0 %, [N/A], [N/A], 52
2026/02/05 10:58:16.148, NVIDIA Thor, 23 %, [N/A], [N/A], 52
2026/02/05 10:58:17.150, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:58:18.152, NVIDIA Thor, 97 %, [N/A], [N/A], 53
2026/02/05 10:58:19.155, NVIDIA Thor, 14 %, [N/A], [N/A], 53
2026/02/05 10:58:20.157, NVIDIA Thor, 97 %, [N/A], [N/A], 53
2026/02/05 10:58:21.160, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:58:22.162, NVIDIA Thor, 10 %, [N/A], [N/A], 52
2026/02/05 10:58:23.164, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:58:24.165, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:58:25.169, NVIDIA Thor, 1 %, [N/A], [N/A], 52
2026/02/05 10:58:26.170, NVIDIA Thor, 2 %, [N/A], [N/A], 52
2026/02/05 10:58:27.172, NVIDIA Thor, 98 %, [N/A], [N/A], 53
2026/02/05 10:58:28.176, NVIDIA Thor, 97 %, [N/A], [N/A], 53
2026/02/05 10:58:29.181, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:58:30.185, NVIDIA Thor, 0 %, [N/A], [N/A], 52
2026/02/05 10:58:31.186, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:58:32.190, NVIDIA Thor, 3 %, [N/A], [N/A], 52
2026/02/05 10:58:33.191, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:58:34.193, NVIDIA Thor, 4 %, [N/A], [N/A], 52
2026/02/05 10:58:35.195, NVIDIA Thor, 45 %, [N/A], [N/A], 53
2026/02/05 10:58:36.196, NVIDIA Thor, 87 %, [N/A], [N/A], 53
2026/02/05 10:58:37.198, NVIDIA Thor, 7 %, [N/A], [N/A], 53
2026/02/05 10:58:38.200, NVIDIA Thor, 0 %, [N/A], [N/A], 52
2026/02/05 10:58:39.201, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:58:40.203, NVIDIA Thor, 98 %, [N/A], [N/A], 53
2026/02/05 10:58:41.211, NVIDIA Thor, 96 %, [N/A], [N/A], 53
2026/02/05 10:58:42.218, NVIDIA Thor, 97 %, [N/A], [N/A], 53
2026/02/05 10:58:43.225, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:58:44.227, NVIDIA Thor, 8 %, [N/A], [N/A], 52
2026/02/05 10:58:45.228, NVIDIA Thor, 4 %, [N/A], [N/A], 52
2026/02/05 10:58:46.230, NVIDIA Thor, 98 %, [N/A], [N/A], 54
2026/02/05 10:58:47.235, NVIDIA Thor, 0 %, [N/A], [N/A], 52
2026/02/05 10:58:48.238, NVIDIA Thor, 68 %, [N/A], [N/A], 52
2026/02/05 10:58:49.240, NVIDIA Thor, 97 %, [N/A], [N/A], 54
2026/02/05 10:58:50.242, NVIDIA Thor, 3 %, [N/A], [N/A], 52
