timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/04 01:02:58.256, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:02:59.265, NVIDIA Thor, 97 %, [N/A], [N/A], 38
2026/02/04 01:03:00.271, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:01.273, NVIDIA Thor, 2 %, [N/A], [N/A], 36
2026/02/04 01:03:02.275, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:03.278, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:04.282, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:05.285, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:06.288, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:07.292, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:08.296, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:09.299, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:10.302, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:11.305, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:12.309, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:13.313, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:03:14.316, NVIDIA Thor, 0 %, [N/A], [N/A], 36
