timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/04 01:01:08.314, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:01:09.324, NVIDIA Thor, 93 %, [N/A], [N/A], 37
2026/02/04 01:01:10.327, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:01:11.329, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:01:12.332, NVIDIA Thor, 2 %, [N/A], [N/A], 36
2026/02/04 01:01:13.335, NVIDIA Thor, 3 %, [N/A], [N/A], 36
2026/02/04 01:01:14.340, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:01:15.344, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:01:16.347, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:01:17.352, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:01:18.356, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:01:19.362, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/04 01:01:20.365, NVIDIA Thor, 0 %, [N/A], [N/A], 36
