timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 10:42:45.573, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 10:42:46.585, NVIDIA Thor, 96 %, [N/A], [N/A], 36
2026/02/05 10:42:47.592, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 10:42:48.595, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 10:42:49.598, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 10:42:50.601, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 10:42:51.604, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 10:42:52.607, NVIDIA Thor, 12 %, [N/A], [N/A], 36
2026/02/05 10:42:53.609, NVIDIA Thor, 52 %, [N/A], [N/A], 36
2026/02/05 10:42:54.611, NVIDIA Thor, 1 %, [N/A], [N/A], 36
2026/02/05 10:42:55.613, NVIDIA Thor, 97 %, [N/A], [N/A], 38
2026/02/05 10:42:56.619, NVIDIA Thor, 96 %, [N/A], [N/A], 38
2026/02/05 10:42:57.623, NVIDIA Thor, 2 %, [N/A], [N/A], 37
2026/02/05 10:42:58.625, NVIDIA Thor, 2 %, [N/A], [N/A], 37
2026/02/05 10:42:59.627, NVIDIA Thor, 97 %, [N/A], [N/A], 38
2026/02/05 10:43:00.633, NVIDIA Thor, 98 %, [N/A], [N/A], 39
2026/02/05 10:43:01.640, NVIDIA Thor, 2 %, [N/A], [N/A], 38
2026/02/05 10:43:02.641, NVIDIA Thor, 48 %, [N/A], [N/A], 38
2026/02/05 10:43:03.649, NVIDIA Thor, 97 %, [N/A], [N/A], 39
2026/02/05 10:43:04.651, NVIDIA Thor, 7 %, [N/A], [N/A], 38
2026/02/05 10:43:05.654, NVIDIA Thor, 5 %, [N/A], [N/A], 38
2026/02/05 10:43:06.656, NVIDIA Thor, 97 %, [N/A], [N/A], 39
2026/02/05 10:43:07.660, NVIDIA Thor, 13 %, [N/A], [N/A], 38
2026/02/05 10:43:08.663, NVIDIA Thor, 98 %, [N/A], [N/A], 39
2026/02/05 10:43:09.667, NVIDIA Thor, 6 %, [N/A], [N/A], 39
2026/02/05 10:43:10.669, NVIDIA Thor, 72 %, [N/A], [N/A], 39
2026/02/05 10:43:11.671, NVIDIA Thor, 98 %, [N/A], [N/A], 40
2026/02/05 10:43:12.674, NVIDIA Thor, 8 %, [N/A], [N/A], 39
2026/02/05 10:43:13.676, NVIDIA Thor, 0 %, [N/A], [N/A], 39
2026/02/05 10:43:14.678, NVIDIA Thor, 98 %, [N/A], [N/A], 40
2026/02/05 10:43:15.684, NVIDIA Thor, 2 %, [N/A], [N/A], 39
2026/02/05 10:43:16.686, NVIDIA Thor, 3 %, [N/A], [N/A], 39
2026/02/05 10:43:17.688, NVIDIA Thor, 2 %, [N/A], [N/A], 39
2026/02/05 10:43:18.691, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 10:43:19.694, NVIDIA Thor, 94 %, [N/A], [N/A], 40
2026/02/05 10:43:20.700, NVIDIA Thor, 9 %, [N/A], [N/A], 40
2026/02/05 10:43:21.702, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 10:43:22.705, NVIDIA Thor, 7 %, [N/A], [N/A], 40
2026/02/05 10:43:23.707, NVIDIA Thor, 8 %, [N/A], [N/A], 40
2026/02/05 10:43:24.709, NVIDIA Thor, 1 %, [N/A], [N/A], 40
2026/02/05 10:43:25.711, NVIDIA Thor, 0 %, [N/A], [N/A], 39
2026/02/05 10:43:26.714, NVIDIA Thor, 95 %, [N/A], [N/A], 41
2026/02/05 10:43:27.722, NVIDIA Thor, 0 %, [N/A], [N/A], 39
2026/02/05 10:43:28.725, NVIDIA Thor, 0 %, [N/A], [N/A], 39
2026/02/05 10:43:29.726, NVIDIA Thor, 90 %, [N/A], [N/A], 40
2026/02/05 10:43:30.729, NVIDIA Thor, 97 %, [N/A], [N/A], 41
2026/02/05 10:43:31.731, NVIDIA Thor, 5 %, [N/A], [N/A], 40
2026/02/05 10:43:32.733, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 10:43:33.737, NVIDIA Thor, 10 %, [N/A], [N/A], 40
2026/02/05 10:43:34.739, NVIDIA Thor, 2 %, [N/A], [N/A], 40
2026/02/05 10:43:35.741, NVIDIA Thor, 22 %, [N/A], [N/A], 41
2026/02/05 10:43:36.743, NVIDIA Thor, 4 %, [N/A], [N/A], 40
2026/02/05 10:43:37.744, NVIDIA Thor, 10 %, [N/A], [N/A], 40
2026/02/05 10:43:38.746, NVIDIA Thor, 55 %, [N/A], [N/A], 40
2026/02/05 10:43:39.751, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 10:43:40.753, NVIDIA Thor, 1 %, [N/A], [N/A], 40
2026/02/05 10:43:41.755, NVIDIA Thor, 95 %, [N/A], [N/A], 41
2026/02/05 10:43:42.759, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 10:43:43.761, NVIDIA Thor, 2 %, [N/A], [N/A], 40
2026/02/05 10:43:44.762, NVIDIA Thor, 96 %, [N/A], [N/A], 42
2026/02/05 10:43:45.768, NVIDIA Thor, 10 %, [N/A], [N/A], 41
2026/02/05 10:43:46.770, NVIDIA Thor, 86 %, [N/A], [N/A], 41
2026/02/05 10:43:47.772, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 10:43:48.774, NVIDIA Thor, 10 %, [N/A], [N/A], 41
2026/02/05 10:43:49.777, NVIDIA Thor, 2 %, [N/A], [N/A], 40
2026/02/05 10:43:50.780, NVIDIA Thor, 1 %, [N/A], [N/A], 40
2026/02/05 10:43:51.782, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 10:43:52.789, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 10:43:53.791, NVIDIA Thor, 6 %, [N/A], [N/A], 41
2026/02/05 10:43:54.792, NVIDIA Thor, 60 %, [N/A], [N/A], 41
2026/02/05 10:43:55.798, NVIDIA Thor, 97 %, [N/A], [N/A], 42
2026/02/05 10:43:56.802, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 10:43:57.806, NVIDIA Thor, 1 %, [N/A], [N/A], 40
2026/02/05 10:43:58.808, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 10:43:59.810, NVIDIA Thor, 0 %, [N/A], [N/A], 41
2026/02/05 10:44:00.811, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 10:44:01.814, NVIDIA Thor, 1 %, [N/A], [N/A], 41
2026/02/05 10:44:02.815, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 10:44:03.821, NVIDIA Thor, 49 %, [N/A], [N/A], 42
2026/02/05 10:44:04.822, NVIDIA Thor, 5 %, [N/A], [N/A], 41
2026/02/05 10:44:05.824, NVIDIA Thor, 69 %, [N/A], [N/A], 42
2026/02/05 10:44:06.827, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 10:44:07.831, NVIDIA Thor, 10 %, [N/A], [N/A], 42
2026/02/05 10:44:08.832, NVIDIA Thor, 8 %, [N/A], [N/A], 41
2026/02/05 10:44:09.834, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 10:44:10.838, NVIDIA Thor, 3 %, [N/A], [N/A], 42
2026/02/05 10:44:11.839, NVIDIA Thor, 0 %, [N/A], [N/A], 41
2026/02/05 10:44:12.841, NVIDIA Thor, 21 %, [N/A], [N/A], 41
2026/02/05 10:44:13.847, NVIDIA Thor, 1 %, [N/A], [N/A], 41
2026/02/05 10:44:14.849, NVIDIA Thor, 96 %, [N/A], [N/A], 42
2026/02/05 10:44:15.863, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 10:44:16.866, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 10:44:17.869, NVIDIA Thor, 10 %, [N/A], [N/A], 42
2026/02/05 10:44:18.870, NVIDIA Thor, 0 %, [N/A], [N/A], 42
2026/02/05 10:44:19.875, NVIDIA Thor, 1 %, [N/A], [N/A], 42
2026/02/05 10:44:20.877, NVIDIA Thor, 96 %, [N/A], [N/A], 44
2026/02/05 10:44:21.888, NVIDIA Thor, 48 %, [N/A], [N/A], 43
2026/02/05 10:44:22.889, NVIDIA Thor, 97 %, [N/A], [N/A], 44
2026/02/05 10:44:23.892, NVIDIA Thor, 97 %, [N/A], [N/A], 44
2026/02/05 10:44:24.896, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 10:44:25.899, NVIDIA Thor, 97 %, [N/A], [N/A], 44
2026/02/05 10:44:26.902, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 10:44:27.905, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 10:44:28.923, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 10:44:29.927, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 10:44:30.930, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 10:44:31.932, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 10:44:32.935, NVIDIA Thor, 67 %, [N/A], [N/A], 45
2026/02/05 10:44:33.936, NVIDIA Thor, 97 %, [N/A], [N/A], 45
2026/02/05 10:44:34.939, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:35.941, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:36.943, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:37.946, NVIDIA Thor, 0 %, [N/A], [N/A], 44
2026/02/05 10:44:38.949, NVIDIA Thor, 96 %, [N/A], [N/A], 46
2026/02/05 10:44:39.952, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:40.956, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:41.958, NVIDIA Thor, 61 %, [N/A], [N/A], 46
2026/02/05 10:44:42.961, NVIDIA Thor, 97 %, [N/A], [N/A], 46
2026/02/05 10:44:43.964, NVIDIA Thor, 98 %, [N/A], [N/A], 46
2026/02/05 10:44:44.969, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 10:44:45.972, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 10:44:46.975, NVIDIA Thor, 97 %, [N/A], [N/A], 47
2026/02/05 10:44:47.977, NVIDIA Thor, 97 %, [N/A], [N/A], 47
