timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 08:54:28.018, NVIDIA Thor, 0 %, [N/A], [N/A], 35
2026/02/05 08:54:29.027, NVIDIA Thor, 95 %, [N/A], [N/A], 36
2026/02/05 08:54:30.030, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 08:54:31.032, NVIDIA Thor, 1 %, [N/A], [N/A], 36
2026/02/05 08:54:32.035, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 08:54:33.039, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 08:54:34.042, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 08:54:35.047, NVIDIA Thor, 62 %, [N/A], [N/A], 36
2026/02/05 08:54:36.049, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 08:54:37.050, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 08:54:38.052, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/05 08:54:39.053, NVIDIA Thor, 25 %, [N/A], [N/A], 38
2026/02/05 08:54:40.058, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/05 08:54:41.060, NVIDIA Thor, 12 %, [N/A], [N/A], 38
2026/02/05 08:54:42.073, NVIDIA Thor, 52 %, [N/A], [N/A], 37
2026/02/05 08:54:43.081, NVIDIA Thor, 5 %, [N/A], [N/A], 37
2026/02/05 08:54:44.082, NVIDIA Thor, 29 %, [N/A], [N/A], 37
2026/02/05 08:54:45.084, NVIDIA Thor, 2 %, [N/A], [N/A], 37
2026/02/05 08:54:46.086, NVIDIA Thor, 28 %, [N/A], [N/A], 37
2026/02/05 08:54:47.089, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/05 08:54:48.091, NVIDIA Thor, 1 %, [N/A], [N/A], 37
2026/02/05 08:54:49.092, NVIDIA Thor, 1 %, [N/A], [N/A], 37
2026/02/05 08:54:50.094, NVIDIA Thor, 0 %, [N/A], [N/A], 37
2026/02/05 08:54:51.096, NVIDIA Thor, 97 %, [N/A], [N/A], 39
2026/02/05 08:54:52.099, NVIDIA Thor, 8 %, [N/A], [N/A], 37
2026/02/05 08:54:53.110, NVIDIA Thor, 0 %, [N/A], [N/A], 38
